post_id,unit_id,loop_seq,candidate_id,post_name,layer,borough,lat,lon,is_anchor,assigned_weight,demand_share,cells_assigned,mean_response_s,coverage_share_assigned,response_source
7,1,1,85,SBH HEALTH SYSTEM,hospital_bay,BRONX,40.8533700223,-73.8908467235,True,1054.0,0.044241101410342515,3,166.8,1.0,osm_graph_emv
3,1,2,80,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,hospital_bay,MANHATTAN,40.8733458837,-73.9130252494,True,653.0,0.02740933512424446,5,174.7,1.0,osm_graph_emv
12,1,3,62,EMS STATION 15,ems_station,BRONX,40.891081,-73.859071,True,745.0,0.03127098723975823,4,183.7,1.0,osm_graph_emv
17,1,4,81,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,hospital_bay,BRONX,40.8406864622,-73.8484030513,True,991.0,0.04159670920080591,7,311.6,0.8204,osm_graph_emv
2,2,1,198,CSL NOSTRAND AVE & LINDEN BLVD,csl,BROOKLYN,40.65264232,-73.94976875,False,1155.0,0.048480523841504364,7,245.0,1.0,osm_graph_emv
9,2,2,29,CONEY ISLAND HOSPITAL/EMS 43,ems_station,BROOKLYN,40.585646,-73.964869,True,1119.0,0.04696944257891202,8,299.5,0.9973,osm_graph_emv
19,2,3,77,NYU LANGONE HOSPITAL-BROOKLYN,hospital_bay,BROOKLYN,40.646552092,-74.0210877868,True,680.0,0.028542646071188716,6,275.6,0.8441,osm_graph_emv
10,2,4,684,Demand cell 8,demand_cell,,40.69464231098107,-73.9903123087008,False,709.0,0.029759905977165883,6,164.7,1.0,osm_graph_emv
8,2,5,677,Demand cell 1,demand_cell,,40.67164768647864,-73.8931034629108,False,561.0,0.023547683008730693,2,112.3,1.0,osm_graph_emv
24,2,6,682,Demand cell 6,demand_cell,,40.66460220724024,-73.9145581386799,False,1051.0,0.04411517797179315,4,196.1,1.0,osm_graph_emv
21,3,1,229,CSL ST ANNS AVE & RAE ST,csl,BRONX,40.81737256,-73.9113805,False,1495.0,0.06275184687709873,6,190.4,1.0,osm_graph_emv
14,3,2,1,EMS STATION 17 PARKING,ems_station,BRONX,40.83487,-73.92797,True,1185.0,0.049739758226997985,5,224.4,1.0,osm_graph_emv
4,3,3,47,CENTRAL HARLEM HEALTH CENTER,ems_station,MANHATTAN,40.805155,-73.953649,True,1211.0,0.05083109469442579,6,186.3,1.0,osm_graph_emv
23,3,4,683,Demand cell 7,demand_cell,,40.79181061410928,-73.94389258547608,False,1021.0,0.04285594358629953,6,107.3,1.0,osm_graph_emv
5,4,1,86,JAMAICA HOSPITAL MEDICAL CENTER,hospital_bay,QUEENS,40.701412,-73.816299,True,1674.0,0.07026527871054399,16,368.5,0.8292,osm_graph_emv
13,4,2,100,NEWYORK-PRESBYTERIAN/QUEENS,hospital_bay,QUEENS,40.7471760099,-73.8251499837,True,907.0,0.03807085292142377,18,435.9,0.5458,osm_graph_emv
6,4,3,720,Demand cell 44,demand_cell,,40.745855964057014,-73.94066377679383,False,501.0,0.02102921423774345,6,206.2,1.0,osm_graph_emv
22,4,4,681,Demand cell 5,demand_cell,,40.667473412219195,-73.8700260616479,False,613.0,0.0257303559435863,5,135.8,1.0,osm_graph_emv
11,4,5,122,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,hospital_bay,QUEENS,40.5985811374,-73.7534684636,True,391.0,0.01641202149093351,4,329.1,0.6931,osm_graph_emv
15,5,1,63,FDNY EMS CMND - SEAVIEW CAMPUS,ems_station,STATEN ISLAND,40.59255,-74.134517,True,987.0,0.04142881128274009,12,558.2,0.3556,osm_graph_emv
18,6,1,696,Demand cell 20,demand_cell,,40.75886307955852,-73.98967525427115,False,1380.0,0.057924781732706515,9,146.5,1.0,osm_graph_emv
1,6,2,400,CSL ROOSEVELT AVE & 80 ST,csl,QUEENS,40.74743975,-73.88578741,False,1116.0,0.04684351914036266,11,330.1,0.8719,osm_graph_emv
16,6,3,205,CSL GRAHAM AVE & COOK ST,csl,BROOKLYN,40.70234555,-73.94238141,False,1106.0,0.04642377434519812,6,197.8,1.0,osm_graph_emv
20,6,4,724,Demand cell 48,demand_cell,,40.73119810373629,-73.99107143819182,False,1519.0,0.06375923438549362,12,191.9,0.9967,osm_graph_emv
