unit_id,seq,from_kind,from_name,from_lat,from_lon,to_kind,to_name,to_lat,to_lon,travel_seconds,distance_km,geometry_source,path_latlons
1,1,post,SBH HEALTH SYSTEM,40.8533700223,-73.8908467235,post,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,40.8733458837,-73.9130252494,423.2,3.937,osm_graph_emv,"[[40.854117, -73.890902], [40.854319, -73.890721], [40.854689, -73.890389], [40.85508, -73.890451], [40.855711, -73.890731], [40.855867, -73.890799], [40.856565, -73.891068], [40.85678, -73.891097], [40.857427, -73.891106], [40.857799, -73.891113], [40.857989, -73.89111], [40.858385, -73.891111], [40.858659, -73.89112], [40.858901, -73.891119], [40.860026, -73.891126], [40.860189, -73.891709], [40.860523, -73.892563], [40.861649, -73.891436], [40.861759, -73.891311], [40.861935, -73.89176], [40.861863, -73.892299], [40.861845, -73.892854], [40.861924, -73.893549], [40.861944, -73.893738], [40.862416, -73.894047], [40.863174, -73.8942], [40.863947, -73.894291], [40.864316, -73.894302], [40.864972, -73.893999], [40.865241, -73.893785], [40.865313, -73.893621], [40.86661, -73.895446], [40.867038, -73.896313], [40.867491, -73.897395], [40.867678, -73.898539], [40.867899, -73.899424], [40.86804, -73.900017], [40.868283, -73.901062], [40.868383, -73.901466], [40.868696, -73.902358], [40.869268, -73.903398], [40.869618, -73.903726], [40.870036, -73.904104], [40.870348, -73.904397], [40.87262, -73.904677], [40.873148, -73.905728], [40.873405, -73.906717], [40.874552, -73.909635], [40.874672, -73.90979], [40.874287, -73.910359], [40.872356, -73.912814], [40.872241, -73.912604], [40.872847, -73.91191]]"
1,2,post,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,40.8733458837,-73.9130252494,post,EMS STATION 15,40.891081,-73.859071,503.3,6.207,osm_graph_emv,"[[40.872847, -73.91191], [40.872937, -73.911828], [40.874552, -73.909635], [40.875638, -73.908254], [40.876675, -73.906529], [40.877082, -73.906134], [40.876562, -73.90472], [40.876399, -73.904261], [40.877943, -73.903882], [40.886098, -73.89629], [40.888315, -73.891896], [40.888786, -73.889996], [40.893189, -73.883684], [40.895149, -73.880554], [40.895206, -73.880205], [40.895229, -73.880047], [40.895275, -73.879591], [40.895469, -73.877119], [40.89562, -73.87573], [40.895735, -73.874808], [40.896251, -73.872418], [40.896629, -73.870511], [40.896594, -73.870076], [40.896091, -73.866962], [40.895759, -73.864934], [40.895534, -73.86405], [40.895362, -73.863547], [40.894657, -73.861339], [40.894322, -73.86026], [40.893403, -73.857373], [40.892752, -73.857731], [40.892044, -73.858123], [40.891337, -73.858515], [40.890633, -73.858905]]"
1,3,post,EMS STATION 15,40.891081,-73.859071,post,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,40.8406864622,-73.8484030513,736.1,7.856,osm_graph_emv,"[[40.890633, -73.858905], [40.889923, -73.859297], [40.889215, -73.859689], [40.888507, -73.86008], [40.887802, -73.860471], [40.887103, -73.860856], [40.886396, -73.861248], [40.885693, -73.861636], [40.884989, -73.862027], [40.884282, -73.862416], [40.883577, -73.862805], [40.882867, -73.863198], [40.882173, -73.863584], [40.881628, -73.864163], [40.881516, -73.864271], [40.880674, -73.864946], [40.879885, -73.865273], [40.879314, -73.865505], [40.878605, -73.865925], [40.877898, -73.866545], [40.877626, -73.867327], [40.877641, -73.867382], [40.877821, -73.868101], [40.878225, -73.869762], [40.878364, -73.870332], [40.876185, -73.870876], [40.868621, -73.872369], [40.863724, -73.872035], [40.858702, -73.872655], [40.856512, -73.872554], [40.856082, -73.872448], [40.856122, -73.873046], [40.856289, -73.872371], [40.856708, -73.869285], [40.855422, -73.869796], [40.854266, -73.869377], [40.853661, -73.869161], [40.852424, -73.868716], [40.851615, -73.867819], [40.85095, -73.866805], [40.850545, -73.866141], [40.85036, -73.865664], [40.850211, -73.865265], [40.850076, -73.864924], [40.849652, -73.863845], [40.849238, -73.862789], [40.848823, -73.861704], [40.848619, -73.861205], [40.846659, -73.859435], [40.845915, -73.859012], [40.845286, -73.858654], [40.843541, -73.856877], [40.843142, -73.855683], [40.842696, -73.854327], [40.842408, -73.854217], [40.842315, -73.854202], [40.842456, -73.853346], [40.842587, -73.852312], [40.842648, -73.851799], [40.842715, -73.851208], [40.842753, -73.850889], [40.84279, -73.850523], [40.8416, -73.848986], [40.840828, -73.847962]]"
1,4,post,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,40.8406864622,-73.8484030513,anchor,SBH HEALTH SYSTEM,40.8533700223,-73.8908467235,562.7,6.814,osm_graph_emv,"[[40.840828, -73.847962], [40.840697, -73.847798], [40.840264, -73.847156], [40.839809, -73.846479], [40.839173, -73.845531], [40.838536, -73.844581], [40.837719, -73.845558], [40.837513, -73.845808], [40.836794, -73.846678], [40.836264, -73.847316], [40.835636, -73.848063], [40.835103, -73.848701], [40.834464, -73.849525], [40.834396, -73.850166], [40.834237, -73.851671], [40.834224, -73.851853], [40.834114, -73.852819], [40.834058, -73.853319], [40.834037, -73.853523], [40.833913, -73.854653], [40.832961, -73.854435], [40.832237, -73.854262], [40.832042, -73.855632], [40.832984, -73.859401], [40.834953, -73.86602], [40.835119, -73.866582], [40.83638, -73.873047], [40.837629, -73.880779], [40.838502, -73.882429], [40.84377, -73.895018], [40.844132, -73.896878], [40.844186, -73.897433], [40.845362, -73.896837], [40.846666, -73.896184], [40.847814, -73.895608], [40.849111, -73.894952], [40.850713, -73.894073], [40.851096, -73.893713], [40.851404, -73.893426], [40.85277, -73.892167], [40.854117, -73.890902]]"
2,1,anchor,UNIVERSITY HOSPITAL OF BROOKLYN,40.6550862385,-73.9449124358,post,CSL NOSTRAND AVE & LINDEN BLVD,40.65264232,-73.94976875,56.5,0.579,osm_graph_emv,"[[40.654472, -73.945137], [40.65441, -73.946066], [40.652855, -73.945905], [40.652796, -73.946873], [40.652642, -73.949769]]"
2,2,post,CSL NOSTRAND AVE & LINDEN BLVD,40.65264232,-73.94976875,post,CONEY ISLAND HOSPITAL/EMS 43,40.585646,-73.964869,897.7,8.571,osm_graph_emv,"[[40.652642, -73.949769], [40.651697, -73.949668], [40.650807, -73.949571], [40.64978, -73.949465], [40.648923, -73.949368], [40.648141, -73.949285], [40.646886, -73.949152], [40.645132, -73.948964], [40.644427, -73.948888], [40.643243, -73.948761], [40.640952, -73.948515], [40.639987, -73.948414], [40.638607, -73.948265], [40.636276, -73.948015], [40.634015, -73.947776], [40.632846, -73.947659], [40.631581, -73.947543], [40.629174, -73.947329], [40.626783, -73.946877], [40.624393, -73.946422], [40.622002, -73.945972], [40.619615, -73.945521], [40.617213, -73.945066], [40.616192, -73.944857], [40.616046, -73.944827], [40.615363, -73.945737], [40.614798, -73.94657], [40.614236, -73.947418], [40.61365, -73.948278], [40.613079, -73.949123], [40.612325, -73.949968], [40.611627, -73.950768], [40.611296, -73.951666], [40.611219, -73.952081], [40.611126, -73.952577], [40.610965, -73.953599], [40.610659, -73.953544], [40.610277, -73.954696], [40.609951, -73.955598], [40.609542, -73.956503], [40.609131, -73.957406], [40.608748, -73.95828], [40.608388, -73.95916], [40.60803, -73.960037], [40.607708, -73.960913], [40.607348, -73.961899], [40.607026, -73.962894], [40.606768, -73.963724], [40.606487, -73.964614], [40.606125, -73.965648], [40.605756, -73.966709], [40.605669, -73.96696], [40.604802, -73.966796], [40.602486, -73.966358], [40.600089, -73.965904], [40.597836, -73.965477], [40.595716, -73.965076], [40.594427, -73.964827], [40.593331, -73.96462], [40.591109, -73.965129], [40.588887, -73.965641], [40.586671, -73.96615], [40.585901, -73.966327]]"
2,3,post,CONEY ISLAND HOSPITAL/EMS 43,40.585646,-73.964869,post,NYU LANGONE HOSPITAL-BROOKLYN,40.646552092,-74.0210877868,796.9,12.447,osm_graph_emv,"[[40.585901, -73.966327], [40.585788, -73.966428], [40.585443, -73.966718], [40.585127, -73.966791], [40.584964, -73.966829], [40.584539, -73.967864], [40.584081, -73.969007], [40.583986, -73.96977], [40.58383, -73.970841], [40.583265, -73.972621], [40.583502, -73.983483], [40.584425, -73.987373], [40.585652, -73.989878], [40.594336, -73.99701], [40.596903, -74.003275], [40.602703, -74.015134], [40.604532, -74.021368], [40.605776, -74.031046], [40.608675, -74.034348], [40.613661, -74.038824], [40.630426, -74.040498], [40.64133, -74.033172], [40.641439, -74.032467], [40.641479, -74.03169], [40.640806, -74.028823], [40.640664, -74.028569], [40.639534, -74.026872], [40.639941, -74.026456], [40.640652, -74.025705], [40.641214, -74.02511], [40.641762, -74.024543], [40.642327, -74.02396], [40.642897, -74.02339], [40.643482, -74.022786], [40.64406, -74.022179], [40.644605, -74.021606], [40.645179, -74.021008], [40.645739, -74.020427]]"
2,4,post,NYU LANGONE HOSPITAL-BROOKLYN,40.646552092,-74.0210877868,post,Demand cell 8,40.69464231098107,-73.9903123087008,614.2,8.82,osm_graph_emv,"[[40.645739, -74.020427], [40.644428, -74.018254], [40.644368, -74.018153], [40.643806, -74.018738], [40.64324, -74.019316], [40.642111, -74.020518], [40.641509, -74.021077], [40.641247, -74.021373], [40.64108, -74.021597], [40.640879, -74.021958], [40.640523, -74.022458], [40.639995, -74.023096], [40.639319, -74.023536], [40.641195, -74.021379], [40.644826, -74.017427], [40.653979, -74.007954], [40.665491, -73.996137], [40.670323, -73.997519], [40.676066, -74.001105], [40.676617, -74.001329], [40.681512, -74.002562], [40.690196, -73.998661], [40.690885, -73.998589], [40.691261, -73.998013], [40.691196, -73.997785], [40.690758, -73.996233], [40.69024, -73.994356], [40.690895, -73.994038], [40.691519, -73.993727], [40.692153, -73.993433], [40.692848, -73.993092], [40.693604, -73.992736], [40.694276, -73.992413], [40.694945, -73.992097], [40.694601, -73.990725], [40.69462, -73.990627]]"
2,5,post,Demand cell 8,40.69464231098107,-73.9903123087008,post,Demand cell 1,40.67164768647864,-73.8931034629108,967.2,10.075,osm_graph_emv,"[[40.69462, -73.990627], [40.695022, -73.990754], [40.695978, -73.991039], [40.696187, -73.990592], [40.696168, -73.990062], [40.696123, -73.988883], [40.696113, -73.988653], [40.696111, -73.988586], [40.696055, -73.987108], [40.695966, -73.98459], [40.695963, -73.984383], [40.695955, -73.98405], [40.695926, -73.98322], [40.695891, -73.982406], [40.696268, -73.979076], [40.695756, -73.964979], [40.698188, -73.96191], [40.698326, -73.961051], [40.698462, -73.960197], [40.698677, -73.958858], [40.69882, -73.957959], [40.698974, -73.95702], [40.69909, -73.956079], [40.699193, -73.955184], [40.699296, -73.95429], [40.6994, -73.953367], [40.699778, -73.950092], [40.699812, -73.949801], [40.700006, -73.948133], [40.700114, -73.947221], [40.700215, -73.946316], [40.700405, -73.944617], [40.700429, -73.944386], [40.700725, -73.941931], [40.700281, -73.941149], [40.699874, -73.94042], [40.699469, -73.939674], [40.699037, -73.938902], [40.698897, -73.938647], [40.698612, -73.938135], [40.698405, -73.937773], [40.698186, -73.937391], [40.697844, -73.936769], [40.69768, -73.936484], [40.697397, -73.936026], [40.696985, -73.935293], [40.696702, -73.93478], [40.696345, -73.934137], [40.696184, -73.933828], [40.695795, -73.933138], [40.695363, -73.93237], [40.695115, -73.931929], [40.695027, -73.931774], [40.694839, -73.93144], [40.694714, -73.931214], [40.694675, -73.931144], [40.694317, -73.930512], [40.693864, -73.929702], [40.693343, -73.928813], [40.693243, -73.928643], [40.693215, -73.928593], [40.692788, -73.927828], [40.692604, -73.927507], [40.692346, -73.927071], [40.692092, -73.926614], [40.691989, -73.926429], [40.691927, -73.926318], [40.691488, -73.92555], [40.691364, -73.925331], [40.690829, -73.924394], [40.690735, -73.924227], [40.690401, -73.923642], [40.690252, -73.923389], [40.690128, -73.923162], [40.689925, -73.922806], [40.689526, -73.922106], [40.689072, -73.921306], [40.689019, -73.921214], [40.688878, -73.920967], [40.688641, -73.92055], [40.688346, -73.920045], [40.68824, -73.919863], [40.688211, -73.91981], [40.687784, -73.919061], [40.68772, -73.918944], [40.6876, -73.918733], [40.687357, -73.918294], [40.687213, -73.918046], [40.686985, -73.917622], [40.686491, -73.916789], [40.686373, -73.916574], [40.686072, -73.916046], [40.685755, -73.915484], [40.685645, -73.91529], [40.685317, -73.914701], [40.685227, -73.91454], [40.6848, -73.913798], [40.684514, -73.913307], [40.684367, -73.913038], [40.68393, -73.912299], [40.68351, -73.911525], [40.683092, -73.910769], [40.682684, -73.910067], [40.682235, -73.909275], [40.682105, -73.909055], [40.681974, -73.908821], [40.6819, -73.908689], [40.681804, -73.908517], [40.681378, -73.907773], [40.680948, -73.907018], [40.680757, -73.90671], [40.680507, -73.906282], [40.680141, -73.905659], [40.680079, -73.905535], [40.680011, -73.905423], [40.679641, -73.904791], [40.679514, -73.904565], [40.679218, -73.90406], [40.678945, -73.903579], [40.678882, -73.903559], [40.677866, -73.903338], [40.677577, -73.902239], [40.67722, -73.901213], [40.676921, -73.900895], [40.676689, -73.900724], [40.676577, -73.900642], [40.676823, -73.900032], [40.676916, -73.899094], [40.676939, -73.898948], [40.677051, -73.898201], [40.677194, -73.897218], [40.675812, -73.896871], [40.675672, -73.896835], [40.674397, -73.896509], [40.673148, -73.896189], [40.671893, -73.895867], [40.672043, -73.894862], [40.672174, -73.893955], [40.672315, -73.893028]]"
2,6,post,Demand cell 1,40.67164768647864,-73.8931034629108,post,Demand cell 6,40.66460220724024,-73.9145581386799,279.7,2.385,osm_graph_emv,"[[40.672315, -73.893028], [40.672174, -73.893955], [40.672043, -73.894862], [40.671893, -73.895867], [40.670628, -73.89556], [40.66937, -73.895222], [40.669227, -73.896198], [40.669093, -73.8971], [40.668958, -73.89802], [40.668819, -73.898941], [40.668684, -73.899863], [40.668547, -73.900783], [40.668412, -73.901657], [40.668273, -73.902626], [40.668124, -73.903572], [40.667983, -73.904463], [40.667849, -73.905384], [40.667708, -73.906355], [40.667425, -73.908231], [40.667164, -73.910095], [40.667027, -73.911018], [40.666887, -73.911954], [40.666746, -73.91291], [40.666604, -73.913866], [40.665066, -73.913472], [40.66493, -73.914391]]"
