spec,feature,label,group,coef_log,coef_lo,coef_hi,pct_change,pct_lo,pct_hi,p_value,significant
All routes,street_width_ft,Street width (ft),Road geometry,0.019153819335756585,-0.058553190806899615,0.09686082947841279,1.933843051934847,-5.687192667776486,10.17070378082574,0.6290198050221051,False
All routes,travel_lanes,Travel lanes,Road geometry,0.016493117396153934,-0.05536159428473471,0.08834782907704257,1.6629879701256511,-5.385703379739127,9.236801331361155,0.6527977882916121,False
All routes,park_lanes,Parking lanes,Road geometry,-0.0018501545232410509,-0.0853011507435425,0.08160084169706039,-0.18484440424083592,-8.176428460937124,8.502262759047685,0.9653400467082885,False
All routes,oneway_share,One-way share,Road geometry,0.016704540031094874,-0.02467793170800823,0.058087011770197976,1.6844840992223054,-2.4375920985240995,5.980720739966272,0.42884864907166176,False
All routes,bus_lane_share,Bus-lane share,Priority lanes,0.005066471282780195,-0.01584978651117784,0.02598272907673823,0.5079327551211321,-1.5724839642998423,2.632322277075061,0.6349614992259984,False
All routes,bike_lane_share,Bike-lane share,Priority lanes,-0.04349980263782355,-0.08146945596377911,-0.005530149311867995,-4.256725694804175,-7.82391362788728,-0.5514886184914025,0.024740798334615923,True
All routes,arterial_share,Arterial share,Road class,0.0020461368860684864,-0.03885868872568318,0.042950962497820155,0.2048231652629573,-3.81133750323559,4.388670399896433,0.9218996476540892,False
All routes,expressway_share,Expressway share,Road class,0.048418387513013375,-0.04226558573743874,0.1391023607634655,4.960970706615697,-4.138484775097428,14.924173124410721,0.2953428764891648,False
All routes,posted_speed_mph,Posted speed (mph),Road class,-0.050695495204470045,-0.12458599096061414,0.023195000551674047,-4.943192099440841,-11.713766007854387,2.3466096543168558,0.17871865816738297,False
All routes,signals_per_km,Signals per km,Friction,-0.01459913790467892,-0.0464779327637503,0.01727965695439246,-1.4493087201099875,-4.541437459593545,1.7429813866421506,0.3694092410528377,False
All routes,turns_per_km,Sharp turns per km,Friction,-0.016143243617092122,-0.04242890401330473,0.010142416779120485,-1.6013639805677604,-4.154139434105108,1.0194025419391517,0.2287036891146227,False
All routes,block_length_m,Mean block length (m),Friction,-0.01010371181948282,-0.08472590261476078,0.06451847897579514,-1.0052840796094697,-8.12359192762978,6.664528857500462,0.7907201038368776,False
All routes,bridge_tunnel_share,Bridge/tunnel share,Friction,-0.0004095698852383742,-0.11617464179390877,0.115355502023432,-0.04094860229424402,-10.968027731410723,12.227233674956107,0.9944673252165338,False
All routes,circuity,Circuity,Route shape,0.002389872506900974,-0.02506732303269273,0.029847068046494677,0.23927305285160738,-2.4755746582567184,3.029695657825604,0.8645421217989379,False
All routes + borough FE,street_width_ft,Street width (ft),Road geometry,0.008850612570226582,-0.06561420765299576,0.08331543279344893,0.8889895047463403,-6.350791391132082,8.68845935260769,0.8157970825127516,False
All routes + borough FE,travel_lanes,Travel lanes,Road geometry,0.026312631868984315,-0.043726144484760254,0.09635140822272889,2.6661865524213457,-4.278393952032999,10.114594775339558,0.46152851544810036,False
All routes + borough FE,park_lanes,Parking lanes,Road geometry,0.004567520370699692,-0.07406578195433702,0.08320082269573639,0.4577967391472093,-7.138939398841071,8.676003271471021,0.9093589808032189,False
All routes + borough FE,oneway_share,One-way share,Road geometry,0.015155034708924417,-0.02724476949100426,0.057554838908853094,1.5270454574354941,-2.6876978455633416,5.924335681192439,0.4835818390843102,False
All routes + borough FE,bus_lane_share,Bus-lane share,Priority lanes,0.004268859198253216,-0.01747580977309386,0.026013528169600293,0.42779837568789336,-1.7323993466866083,2.635483308177733,0.7004039429524711,False
All routes + borough FE,bike_lane_share,Bike-lane share,Priority lanes,-0.04538719797713643,-0.08212476218944065,-0.008649633764832222,-4.437260680460375,-7.884297404050955,-0.8612333305278219,0.015459771184835222,True
All routes + borough FE,arterial_share,Arterial share,Road class,0.0033089328692516157,-0.035178051477860434,0.041795917216363665,0.3314413430887786,-3.456649590876637,4.268166365918757,0.8661831499673627,False
All routes + borough FE,expressway_share,Expressway share,Road class,0.021310626000187557,-0.05622515631122103,0.09884640831159615,2.153931903193196,-5.467373424812905,10.389673717384262,0.5900980257489055,False
All routes + borough FE,posted_speed_mph,Posted speed (mph),Road class,-0.022437136407427602,-0.08431040582880645,0.03943613301395125,-2.2187295919257166,-8.08540964361184,4.022406078780216,0.4772436469207142,False
All routes + borough FE,signals_per_km,Signals per km,Friction,-0.018317832452801622,-0.05869502232179614,0.022059357416192894,-1.815108068920479,-5.7005682475527735,2.2304464021076553,0.3739103129281569,False
All routes + borough FE,turns_per_km,Sharp turns per km,Friction,-0.017449632352865813,-0.043475158271069576,0.008575893565337951,-1.7298269207399186,-4.254366133363141,0.861277188669618,0.18880599487333727,False
All routes + borough FE,block_length_m,Mean block length (m),Friction,-0.0004869277753683718,-0.07948713715135247,0.07851328160061571,-0.048680924527844116,-7.641010011070392,8.167772147836416,0.9903614013817739,False
All routes + borough FE,bridge_tunnel_share,Bridge/tunnel share,Friction,0.0033072969831614007,-0.09411127064607805,0.10072586461240085,0.33127721241372754,-8.981851987533352,10.59734137521049,0.9469483093498051,False
All routes + borough FE,circuity,Circuity,Route shape,0.008558110209205272,-0.011456955634304537,0.02857317605271508,0.8594835526058553,-1.1391574645338687,2.8985305162553043,0.4020036929245736,False
