feature,vif
street_width_ft,6.070306597311443
travel_lanes,5.893505007007934
park_lanes,3.916135904170279
oneway_share,2.061857073157096
bus_lane_share,1.354106736272085
bike_lane_share,1.4185637153739938
arterial_share,1.9699424330931836
expressway_share,5.871285141830555
posted_speed_mph,6.294226202968998
signals_per_km,1.7154349830119133
turns_per_km,1.6029109591026387
block_length_m,2.9558491251549666
bridge_tunnel_share,3.270858662733907
circuity,1.3612291882482248
log_crow_km,2.708046809597358
