uid,facname,factype,facsubgrp,address,boro,borocode,zipcode,latitude,longitude,opname,optype
00abd48bd2c32008a8fbe8eacf33784f,SEGUNDO RUIZ BELVIS D AND TC,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,545 EAST 142 STREET,BRONX,2,10454,40.810173,-73.915892,NYC Health and Hospitals Corporation,Public
03957f7f010a9029fbaf54f274983c83,EMS STATION 17 PARKING,OUTDOOR PARKING - EMPLOYEES,CITY AGENCY PARKING,1076 OGDEN AVENUE,BRONX,2,10452,40.83487,-73.92797,NYC Fire Department,Public
09340b03f33b20eef81dd696cd42660f,GOUVERNEUR SNF/DIAG TRMNT CTR,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,227 MADISON STREET,MANHATTAN,1,10002,40.713196,-73.987786,NYC Health and Hospitals Corporation,Public
0a9204e717896651a3c2694d3a343c77,"EMS STATION 19, DO 7",AMBULANCE STATION,OTHER EMERGENCY SERVICES,2283 JEROME AVENUE,BRONX,2,10468,40.858729,-73.904071,NYC Fire Department,Public
0d08a0992722813cbf42bc5d978e6698,LOWER WEST SIDE HEALTH CENTER,EMERGENCY MEDICL STN,OTHER EMERGENCY SERVICES,303 9 AVENUE,MANHATTAN,1,10001,40.749575,-73.999852,NYC Department of Health and Mental Hygiene,Public
0f44391b33c5c328f81c8768fa8954d4,LINCOLN MEDICAL/EMS 14,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,234 EAST 149 STREET,BRONX,2,10451,40.816758,-73.924478,NYC Health and Hospitals Corporation,Public
116a37435e53de72997b679c00cd3f78,EMS STATION 58/DIVISION 3,AMBULANCE STATION,OTHER EMERGENCY SERVICES,410 EAST 83 STREET,BROOKLYN,3,11236,40.642511,-73.917955,NYC Fire Department,Public
18f19f0bfc8a495bd3fa1221e2d36fc0,EMS STATION 32,AMBULANCE STATION,OTHER EMERGENCY SERVICES,347 BOND STREET,BROOKLYN,3,11231,40.678354,-73.990215,NYC Fire Department,Public
1c80b0ea54d0800b0450a5adbcb7e0fa,DYCKMAN HOUSES AND SENIOR CENTER,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,177 NAGLE AVENUE,MANHATTAN,1,10034,40.861144,-73.922678,NYC Health and Hospitals Corporation,Public
228913f38e7c7545683443be406cf8e4,METROPOLITAN HOSP./ EMS ST.10,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,1918 1 AVENUE,MANHATTAN,1,10029,40.785054,-73.94496,NYC Health and Hospitals Corporation,Public
22ee05bdaf6beaa26c9d196d427c06e3,WOODSIDE HOUSES,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,50-14 BROADWAY,QUEENS,4,11377,40.754215,-73.910487,NYC Health and Hospitals Corporation,Public
25bf7121fdf2a8b7cc824f48cc1a9176,EMS STATION 18,AMBULANCE STATION,OTHER EMERGENCY SERVICES,1663 WASHINGTON AVENUE,BRONX,2,10457,40.841141,-73.901783,NYC Fire Department,Public
26ba52ec68b875cd69dad216667beb20,"EMS STATION 59, SOC STORAGE",AMBULANCE STATION,OTHER EMERGENCY SERVICES,101-07 FARRAGUT ROAD,BROOKLYN,3,11236,40.649196,-73.902192,NYC Fire Department,Public
39b2b686d96209900c3504cdce9291ca,THE HIGH LINE/EMS STATION 7,AMBULANCE STATION,OTHER EMERGENCY SERVICES,507-09 WEST 22 STREET,MANHATTAN,1,10011,40.747571,-74.004988,NYC Fire Department,Public
39b2ffe4bc55b36cc680992a29d6de6e,LINCOLN MEDICAL/EMS 14,AMBULANCE STATION,OTHER EMERGENCY SERVICES,234 EAST 149 STREET,BRONX,2,10451,40.816758,-73.924478,NYC Fire Department,Public
3c64f0f718f70e7c8bb75de8e38a3434,"PIERS 35 AND 36, EMS ST.4/DIV.1",AMBULANCE STATION,OTHER EMERGENCY SERVICES,271 MARGINAL STREET,MANHATTAN,1,10002,40.709581,-73.986351,NYC Fire Department,Public
4298bcfec9c390ad1102e712e26912ad,ENG 168/EMS STATION 23,PUBLIC SAFETY FACILITY,OTHER PUBLIC SAFETY,1100 ROSSVILLE AVENUE,STATEN ISLAND,5,10309,40.553737,-74.213481,NYC Fire Department,Public
42d27da63b8d83d5123a10be5552da74,NYPD 50TH PRECINCT STATION HOUSE AND EMS STATION 50,POLICE STATION,POLICE SERVICES,3450 KINGSBRIDGE AVENUE,BRONX,2,10463,40.883369,-73.902307,NYC Police Department,Public
4336ca2b180e3ca593b6d723e82aa7cc,EAST NEW YORK COMMUNITY CENTER,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,127 PENNSYLVANIA AVENUE,BROOKLYN,3,11207,40.674679,-73.89612,NYC Health and Hospitals Corporation,Public
433772760f12867f6fc325c223c5b1fe,WASHINGTON HGTS. HEALTH CENTER,EMERGENCY MEDICL STN,OTHER EMERGENCY SERVICES,600 WEST 168 STREET,MANHATTAN,1,10032,40.84105,-73.940248,NYC Department of Health and Mental Hygiene,Public
44bfdc5bd6f677dece586f6fbf9e09b4,BELVUE HOSP/OCME/EMS STATION 8,AMBULANCE STATION,OTHER EMERGENCY SERVICES,430-514 FIRST AVENUE,MANHATTAN,1,10016,40.738747,-73.975343,NYC Fire Department,Public
4521c14c4c2b4e91746faa3f6c946b9f,WOODHULL HOSP/EMS STATION 57,AMBULANCE STATION,OTHER EMERGENCY SERVICES,780 BROADWAY,BROOKLYN,3,11206,40.699516,-73.942712,NYC Fire Department,Public
486f24f68f76df28955ff052ffd47135,9 METROTECH CENTER,EMERGENCY MEDICL STN,OTHER EMERGENCY SERVICES,303-05 BRIDGE STREET,BROOKLYN,3,11201,40.694498,-73.984551,NYC Fire Department,Public
488fa2d1b64c14c8e85c409503cc207b,MORRISANIA D AND TC,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,1225 GERARD AVENUE,BRONX,2,10452,40.836342,-73.920365,NYC Health and Hospitals Corporation,Public
4a7c4daee60d055399400a5e5924d9f7,EMS STATION 55 PARKING,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,319 EAST 159 STREET,BRONX,2,10451,40.823851,-73.916753,NYC Fire Department,Public
4add8722b2e9626feacb771f4bfc6ee7,JACOBI MED CTR/49TH PCT/EMS 20,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,1400 EASTCHESTER ROAD,BRONX,2,10461,40.855466,-73.84661,NYC Health and Hospitals Corporation,Public
4b48bf64ca882b1cd44e825c92954631,COURT SQUARE BLDG,EMERGENCY MEDICL STN,OTHER EMERGENCY SERVICES,2 LAFAYETTE STREET,MANHATTAN,1,10007,40.714022,-74.003903,Non-public,Non-public
4b89318f6c0a27f44b7fd522a82409a3,EMS STATION 35,AMBULANCE STATION,OTHER EMERGENCY SERVICES,332 METROPOLITAN AVENUE,BROOKLYN,3,11211,40.714154,-73.957052,NYC Fire Department,Public
5276e00703d92ba5e596a872e7af997c,LAGUARDIA AIRPORT,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,FLUSHING AVENUE,QUEENS,4,11371,40.774748,-73.874521,NYC Health and Hospitals Corporation,Public
540f5c9cfb1f9c7fd770526cb63d8a4e,ST. NICHOLAS HOUSES AND PLAYGROUND,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,2406 FREDERICK DOUGLASS BOULEVARD,MANHATTAN,1,10027,40.811515,-73.948374,NYC Health and Hospitals Corporation,Public
5a2db68583bfaf2991caa5cee030eb0b,JACOBI MED CTR/49TH PCT/EMS 20,AMBULANCE STATION,OTHER EMERGENCY SERVICES,1400 EASTCHESTER ROAD,BRONX,2,10461,40.855466,-73.84661,NYC Fire Department,Public
