uid,facname,factype,facsubgrp,address,boro,borocode,zipcode,latitude,longitude,opname,optype,overagency
3593b4e81587d6966af9efe21db86f12,METROPOLITAN HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,1901 FIRST AVENUE,MANHATTAN,1,10029,40.7850865334,-73.9450268754,NYC Health and Hospitals Corporation,Public,NYS Department of Health
43f617c5a96e402d5ae36d000ea067fe,CONEY ISLAND HOSPITAL,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,2601 OCEAN PARKWAY,BROOKLYN,3,11235,40.5851938281,-73.9650595692,NYC Health and Hospitals Corporation,Public,NYS Department of Health
7cbc3a4e9f96c716cedc0888f5f11619,NORTH CENTRAL BRONX HOSPITAL,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,3424 KOSSUTH AVENUE,BRONX,2,10467,40.8804682307,-73.8810941706,NYC Health and Hospitals Corporation,Public,NYS Department of Health
8ca2205de3edd1cb4e1df3f2cf2d3dd3,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,234 EAST 149 STREET,BRONX,2,10451,40.8170688541,-73.9245035525,NYC Health and Hospitals Corporation,Public,NYS Department of Health
d35166b74dc46cee7f2a368f42f3d961,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,760 BROADWAY,BROOKLYN,3,11206,40.6995844886,-73.9423894861,NYC Health and Hospitals Corporation,Public,NYS Department of Health
dd06832728f1c4e7bcca95dd8720a045,KINGS COUNTY HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,451 CLARKSON AVENUE,BROOKLYN,3,11203,40.6566460111,-73.9449347538,NYC Health and Hospitals Corporation,Public,NYS Department of Health
dee581d1e5be1b9787cfadf366c6d346,QUEENS HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,"82 70 164TH STREET JAMAICA, NY",QUEENS,4,11432,40.717777,-73.805293,NYC Health and Hospitals Corporation,Public,NYS Department of Health
e99a2a433a5eac5903d4e816661bc8f4,HARLEM HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,506 LENOX AVENUE,MANHATTAN,1,10037,40.8141202109,-73.9397457408,NYC Health and Hospitals Corporation,Public,NYS Department of Health
ec4f9668773eb0fa542645ada9472292,JACOBI MEDICAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,1400 PELHAM PARKWAY,BRONX,2,10461,40.8564867516,-73.847549146,NYC Health and Hospitals Corporation,Public,NYS Department of Health
f33954852f0d2fc8fe3f64616bdbca4b,ELMHURST HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,"79 01 ELMHURST, NY",QUEENS,4,11373,40.7387104026,-73.8783511552,NYC Health and Hospitals Corporation,Public,NYS Department of Health
fcabc8d279454c214632804de9ace701,BELLEVUE HOSPITAL CENTER,ACUTE CARE HOSPITAL,HOSPITALS AND CLINICS,462 FIRST AVENUE,MANHATTAN,1,10016,40.7392535154,-73.9754888728,NYC Health and Hospitals Corporation,Public,NYS Department of Health
04db3eec2cf5b59e6b46c7301834cac2,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,HOSPITAL,HOSPITALS AND CLINICS,2525 KINGS HIGHWAY,BROOKLYN,3,11229,40.6139265948,-73.9484956354,"The New York Community Hospital of Brooklyn, Inc.",Non-public,NYS Department of Health
04f47186dd690dacec2e04b0083d0f30,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,HOSPITAL,HOSPITALS AND CLINICS,25-10 30 AVENUE,QUEENS,4,11102,40.7682567312,-73.9248670458,The Mount Sinai Hospital,Non-public,NYS Department of Health
167d43583634ca07b8608129603edd1e,NYU LANGONE HOSPITAL-BROOKLYN,HOSPITAL,HOSPITALS AND CLINICS,150 55 STREET,BROOKLYN,3,11220,40.646552092,-74.0210877868,NYU Langone Hospitals,Non-public,NYS Department of Health
19c98d507503768133253fe477a67612,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,HOSPITAL,HOSPITALS AND CLINICS,111 EAST 210 STREET,BRONX,2,10467,40.8804360481,-73.8798960259,Montefiore Medical Center,Non-public,NYS Department of Health
2239267b6f66664c7007ea9a6fd46b77,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,HOSPITAL,HOSPITALS AND CLINICS,525 EAST 68 STREET,MANHATTAN,1,10065,40.764729053,-73.9539201238,The New York and Presbyterian Hospital,Non-public,NYS Department of Health
246126ff20ee80bcd9e1ad3b63041330,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,HOSPITAL,HOSPITALS AND CLINICS,5141 BROADWAY,MANHATTAN,1,10034,40.8733458837,-73.9130252494,The New York and Presbyterian Hospital,Non-public,NYS Department of Health
260eba3eb71ffbacfccfe29c7c750831,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,HOSPITAL,HOSPITALS AND CLINICS,2475 ST RAYMOND AVENUE,BRONX,2,10461,40.8406864622,-73.8484030513,Montefiore Medical Center,Non-public,NYS Department of Health
2d4b635535785a9ef48042c8e2226812,NORTH CENTRAL BRONX HOSPITAL,HOSPITAL,HOSPITALS AND CLINICS,,BRONX,2,10467,40.880512,-73.881538,New York City Health and Hospitals Corporation,Public,NYS Department of Health
2e5ef01c1110cceaa57585d5d4e340a6,STATEN ISLAND UNIVERSITY HOSP-NORTH,HOSPITAL,HOSPITALS AND CLINICS,475 SEAVIEW AVENUE,STATEN ISLAND,5,10305,40.5847678934,-74.086048225,Staten Island University Hospital,Non-public,NYS Department of Health
39435311267b2bacfe9a5d97447f871f,CALVARY HOSPITAL INC,HOSPITAL,HOSPITALS AND CLINICS,1740 EASTCHESTER ROAD,BRONX,2,10461,40.8479383062,-73.8439176564,Calvary Hospital Inc.,Non-public,NYS Department of Health
3c6ec063f66e2b621f10a3b1c36c8ce0,SBH HEALTH SYSTEM,HOSPITAL,HOSPITALS AND CLINICS,4422 THIRD AVENUE,BRONX,2,10457,40.8533700223,-73.8908467235,St Barnabas Hospital Inc,Non-public,NYS Department of Health
4275934ccabcce560192ce42c86e44ec,JAMAICA HOSPITAL MEDICAL CENTER,HOSPITAL,HOSPITALS AND CLINICS,,QUEENS,4,11418,40.701412,-73.816299,Jamaica Hospital Inc,Non-public,NYS Department of Health
441bc3b09eaa7cad67c8a4bab1e9c17d,HARLEM HOSPITAL CENTER,HOSPITAL,HOSPITALS AND CLINICS,506 LENOX AVENUE,MANHATTAN,1,10037,40.8141202109,-73.9397457408,New York City Health and Hospitals Corporation,Public,NYS Department of Health
47602b14f2efb30a249cab884d7a6d5d,BELLEVUE HOSPITAL CENTER,HOSPITAL,HOSPITALS AND CLINICS,462 FIRST AVENUE,MANHATTAN,1,10016,40.7392535154,-73.9754888728,New York City Health and Hospitals Corporation,Public,NYS Department of Health
4fd8052b92c4824be0cb4886e4eb5c68,ROCKEFELLER UNIVERSITY HOSPITAL,HOSPITAL,HOSPITALS AND CLINICS,1230 YORK AVENUE,MANHATTAN,1,10065,40.7629136004,-73.9563756902,The Rockefeller University Inc,Non-public,NYS Department of Health
519d8828f3cba40a82ca406c3d9562bb,BROOKDALE HOSPITAL MEDICAL CENTER,HOSPITAL,HOSPITALS AND CLINICS,1 BROOKDALE PLAZA,BROOKLYN,3,11212,40.654958824,-73.9124201195,The Brookdale Hospital Medical Center,Non-public,NYS Department of Health
530123f8dc59a65258ab74bf35ce949e,NORTHWELL GREENWICH VILLAGE HOSPITAL,HOSPITAL,HOSPITALS AND CLINICS,30 SEVENTH AVENUE,MANHATTAN,1,10011,40.7377276571,-74.0008651872,Lenox Hill Hospital,Non-public,NYS Department of Health
