incident_id,incident_datetime,borough,dispatch_area,zipcode,travel_seconds,response_seconds,start_lat,start_lon,dest_lat,dest_lon,depot_id,depot_name,depot_layer,start_source,start_mode,crow_flies_km,prefer_borough,initial_call_type,final_call_type,alarm_box_borough,alarm_box_number,alarm_box_location,dispatch_wait_seconds,valid_incident_rspns_time_indc,engines_assigned_quantity,ladders_assigned_quantity,other_units_assigned_quantity,highest_alarm_level,borough_norm,dispatch_borough,modzcta
260630-B1077-002-1071,2026-06-30T23:56:48.000,BROOKLYN,1077,11225,322.0,356.0,40.66253364,-73.94791393,40.663270614831106,-73.95060087631475,564,CSL NEW YORK AVE & LEFFERTS AVE,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.2409979757740989,BROOKLYN,Utility Emergency - Water,NonMedical Emergencies,BROOKLYN,1077,BEDFORD AVE & PRESIDENT ST,33,Y,0.0,1.0,0.0,First Alarm,BROOKLYN,,11225
260630-X3878-001-1083,2026-06-30T23:56:17.000,BRONX,3878,10470,336.0,376.0,40.89659383,-73.86954189,40.89518159734686,-73.87185745378329,703,CSL E 233 ST & E 234 ST NEAR KEPLER AVE,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.2500792497526148,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,BRONX,3878,FURMAN AVE & E 240 ST,40,Y,1.0,1.0,0.0,First Alarm,BRONX,,10470
260630-B3937-001-1070,2026-06-30T23:54:23.000,BROOKLYN,3937,11210,242.0,270.0,40.62885277,-73.95017657,40.62576354335876,-73.94439549249944,325,CSL AVENUE I & E 27 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.5966772608066885,BROOKLYN,Assist Civilian - Non-Medical,NonMedical Emergencies,BROOKLYN,3937,BROOKLYN AVE & FARRAGUT RD,28,Y,0.0,1.0,0.0,First Alarm,BROOKLYN,,11210
260630-X2585-001-1081,2026-06-30T23:53:42.000,BRONX,2585,10452,288.0,340.0,40.83836092,-73.92491804,40.836711134538305,-73.9240363632889,249,CSL NELSON AVE & W 168 ST,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.1978752454797345,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,BRONX,2585,WALTON AVE & E 168 ST,52,Y,2.0,1.0,1.0,First Alarm,BRONX,,10452
260630-B3116-001-1068,2026-06-30T23:52:24.000,BROOKLYN,3116,11234,256.0,265.0,40.58689038,-73.94318574,40.58390802101884,-73.92225171655224,419,CSL VOORHIES AVE & E 26 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,1.7986212861984345,BROOKLYN,Medical - Breathing / Ill or Sick,Medical Emergencies,BROOKLYN,3116,FOSTER AVE & KINGS HWY,9,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11234
260630-Q7833-001-0856,2026-06-30T23:50:55.000,QUEENS,7833,11372,116.0,155.0,40.75217862,-73.88096296,40.75203495383239,-73.88359732782362,513,CSL 35 AVE & 86 ST,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.2224794947981302,QUEENS,Non-Medical MFA - Phone,NonMedical MFAs,QUEENS,7833,NORTHERN BLVD & 84 ST,38,Y,3.0,2.0,1.0,First Alarm,QUEENS,,11372
260630-Q9876-003-0853,2026-06-30T23:47:35.000,QUEENS,9876,11433,338.0,346.0,40.69617957,-73.79216302,40.697581051726765,-73.78664900498536,500,CSL 108 AVE & UNION HALL ST,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.4902830329783176,QUEENS,Medical - No PT Contact EMS is Onscene,Medical Emergencies,QUEENS,9876,JAMAICA AVE & 162 ST,7,Y,1.0,0.0,0.0,First Alarm,QUEENS,,11433
260630-B3762-001-1063,2026-06-30T23:46:50.000,BROOKLYN,3762,11225,237.0,276.0,40.66253364,-73.94791393,40.663270614831106,-73.95060087631475,564,CSL NEW YORK AVE & LEFFERTS AVE,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.2409979757740989,BROOKLYN,Elevator Emergency - Unoccupied,NonMedical Emergencies,BROOKLYN,3762,MONTGOMERY ST & BEDFORD AVE,39,Y,0.0,1.0,0.0,First Alarm,BROOKLYN,,11225
260630-Q7162-003-0852,2026-06-30T23:45:01.000,QUEENS,7162,11101,431.0,492.0,40.74649713,-73.93226763,40.745855964057014,-73.94066377679383,488,CSL SKILLMAN AVE & 32 PL,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.7108941316000547,QUEENS,Alarm System - Unnecessary,NonMedical Emergencies,QUEENS,7162,JACKSON AVE & 42 RD,60,Y,1.0,1.0,0.0,First Alarm,QUEENS,,11101
260630-X2711-001-1076,2026-06-30T23:44:38.000,BRONX,2711,10456,297.0,321.0,40.82971,-73.908118,40.82898240818156,-73.90949161407787,51,Battalion 26/Engine 50/Ladder 19,fdny_firehouse,nearest_firehouse_in_bronx,hybrid_static,0.14107553388165955,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,BRONX,2711,GRANT AVE & E 169 ST,24,Y,1.0,0.0,0.0,First Alarm,BRONX,,10456
