civilian_network_s,crow_flies_km,bearing_deg,borough,origin_layer,start_lat,start_lon,dest_lat,dest_lon,osm_path_km,osm_n_edges,osm_n_nodes,osm_mean_speed_kmh,osm_min_speed_kmh,osm_primary_share,osm_motorway_share,osm_residential_share,osm_circuity,osm_route_ok,travel_seconds,hour,dow,is_weekend,is_rush,is_night,severity,wx_is_precip,wx_is_snow,wx_temp_c,wx_humidity,wx_precip_mm,wx_wind_kmh,wx_visibility_m,wx_cloudcover
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,1442.5105735657362,18,3,0,1,0,3.0,0,0,25.55,61.5,0.0,14.35,,92.0
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,1163.5008050704132,6,4,0,0,0,2.0,0,0,16.2,93.0,0.0,7.800000000000001,,66.0
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,1234.4194493372038,8,4,0,1,0,7.0,0,0,19.8,76.5,0.0,7.699999999999999,,58.5
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,555.7347005913741,3,6,1,0,1,7.0,0,0,16.85,84.5,0.0,8.55,,77.5
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,1001.4806382997785,10,6,1,0,0,4.0,0,0,23.55,61.0,0.0,9.25,,21.5
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,1151.733124672134,9,0,0,1,0,6.0,0,0,21.9,64.5,0.0,8.5,,50.0
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,966.0369654605125,20,0,0,0,0,5.0,0,0,22.5,71.5,0.0,10.25,,81.5
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,639.8041460413166,0,1,0,0,1,6.0,0,0,18.5,77.5,0.0,8.149999999999999,,31.0
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,667.6113775908982,0,3,0,0,1,3.0,0,0,18.5,77.5,0.0,8.149999999999999,,31.0
1133.217025600236,11.542107999775807,7.799376792955286,BROOKLYN,ems_station,40.649196,-73.902192,40.75203495383239,-73.88359732782362,15.278533848818002,126.0,127.0,45.7543769431486,32.1868,0.4365079365079365,0.07936507936507936,0.14285714285714285,1.3237212690363642,1.0,667.2506780942844,1,3,0,0,1,2.0,0,0,17.0,82.0,0.0,8.7,,60.5
