borobox,box_type,location,zip,borough,communitydistict,citycouncil,latitude,longitude,location_point,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,zipcode,incident_volume,facname,factype,address,boro
B1759,ERS,SUNNYSIDE AVE & BARBEY ST,11207.0,BROOKLYN,BK05,37.0,40.68248486,-73.89028339,"{'type': 'Point', 'coordinates': [-73.89028339, 40.68248486]}",17214.0,45.0,2.0,37.0,47.0,11207,75,CSL SUNNYSIDE AVE & BARBEY ST,SYNTHETIC_CSL,SUNNYSIDE AVE & BARBEY ST,BROOKLYN
B1729,ERS,GLENMORE AVE & SHEFFIELD AVE,11207.0,BROOKLYN,BK05,37.0,40.67301661,-73.89716712,"{'type': 'Point', 'coordinates': [-73.89716712, 40.67301661]}",17214.0,45.0,2.0,37.0,47.0,11207,75,CSL GLENMORE AVE & SHEFFIELD AVE,SYNTHETIC_CSL,GLENMORE AVE & SHEFFIELD AVE,BROOKLYN
B2107,ERS,NEW LOTS AVE & HINSDALE ST,11207.0,BROOKLYN,BK05,42.0,40.65983319,-73.89759944,"{'type': 'Point', 'coordinates': [-73.89759944, 40.65983319]}",17214.0,45.0,2.0,25.0,47.0,11207,75,CSL NEW LOTS AVE & HINSDALE ST,SYNTHETIC_CSL,NEW LOTS AVE & HINSDALE ST,BROOKLYN
B1709,ERS,LIBERTY AVE & SNEDIKER AVE,11207.0,BROOKLYN,BK05,37.0,40.67357377,-73.90207722,"{'type': 'Point', 'coordinates': [-73.90207722, 40.67357377]}",17214.0,45.0,2.0,37.0,47.0,11207,75,CSL LIBERTY AVE & SNEDIKER AVE,SYNTHETIC_CSL,LIBERTY AVE & SNEDIKER AVE,BROOKLYN
B1905,ERS,LINDEN BLVD & WILLIAMS AVE,11207.0,BROOKLYN,BK05,42.0,40.65774692,-73.89610851,"{'type': 'Point', 'coordinates': [-73.89610851, 40.65774692]}",17214.0,45.0,2.0,25.0,47.0,11207,75,CSL LINDEN BLVD & WILLIAMS AVE,SYNTHETIC_CSL,LINDEN BLVD & WILLIAMS AVE,BROOKLYN
M1290,ERS,FDR DR & E 107 ST,10029.0,MANHATTAN,MN11,8.0,40.78951095,-73.93750187,"{'type': 'Point', 'coordinates': [-73.93750187, 40.78951095]}",12426.0,7.0,4.0,35.0,14.0,10029,63,CSL FDR DR & E 107 ST,SYNTHETIC_CSL,FDR DR & E 107 ST,MANHATTAN
M1275,ERS,2 AVE & E 101 ST,10029.0,MANHATTAN,MN11,8.0,40.787442,-73.9447695,"{'type': 'Point', 'coordinates': [-73.9447695, 40.787442]}",12426.0,7.0,4.0,35.0,14.0,10029,63,CSL 2 AVE & E 101 ST,SYNTHETIC_CSL,2 AVE & E 101 ST,MANHATTAN
M1230,ERS,FDR DR & E 97 ST,10029.0,MANHATTAN,MN11,8.0,40.78363246,-73.94351861,"{'type': 'Point', 'coordinates': [-73.94351861, 40.78363246]}",12426.0,7.0,4.0,35.0,14.0,10029,63,CSL FDR DR & E 97 ST,SYNTHETIC_CSL,FDR DR & E 97 ST,MANHATTAN
M1378,ERS,LEXINGTON AVE & E 115 ST,10029.0,MANHATTAN,MN11,8.0,40.7979438,-73.94212011,"{'type': 'Point', 'coordinates': [-73.94212011, 40.7979438]}",12426.0,7.0,4.0,35.0,16.0,10029,63,CSL LEXINGTON AVE & E 115 ST,SYNTHETIC_CSL,LEXINGTON AVE & E 115 ST,MANHATTAN
M1262,ERS,3 AVE & E 100 ST,10029.0,MANHATTAN,MN11,5.0,40.78775317,-73.94746094,"{'type': 'Point', 'coordinates': [-73.94746094, 40.78775317]}",12426.0,7.0,4.0,35.0,14.0,10029,63,CSL 3 AVE & E 100 ST,SYNTHETIC_CSL,3 AVE & E 100 ST,MANHATTAN
B1936,ERS,STANLEY AVE & BERRIMAN ST,11208.0,BROOKLYN,BK05,42.0,40.66329419,-73.87475187,"{'type': 'Point', 'coordinates': [-73.87475187, 40.66329419]}",17215.0,45.0,2.0,25.0,47.0,11208,63,CSL STANLEY AVE & BERRIMAN ST,SYNTHETIC_CSL,STANLEY AVE & BERRIMAN ST,BROOKLYN
B1843,ERS,GLENMORE AVE & PINE ST,11208.0,BROOKLYN,BK05,42.0,40.67680551,-73.87130777,"{'type': 'Point', 'coordinates': [-73.87130777, 40.67680551]}",17215.0,45.0,2.0,25.0,47.0,11208,63,CSL GLENMORE AVE & PINE ST,SYNTHETIC_CSL,GLENMORE AVE & PINE ST,BROOKLYN
B1978,ERS,DUMONT AVE & EMERALD ST,11208.0,BROOKLYN,BK05,42.0,40.67138053,-73.85947417,"{'type': 'Point', 'coordinates': [-73.85947417, 40.67138053]}",17215.0,45.0,2.0,25.0,47.0,11208,63,CSL DUMONT AVE & EMERALD ST,SYNTHETIC_CSL,DUMONT AVE & EMERALD ST,BROOKLYN
B4018,ERS,FLATLANDS AVE & FOUNTAIN AVE,11208.0,BROOKLYN,BK05,42.0,40.66045225,-73.8671807,"{'type': 'Point', 'coordinates': [-73.8671807, 40.66045225]}",17215.0,45.0,2.0,25.0,47.0,11208,63,CSL FLATLANDS AVE & FOUNTAIN AVE,SYNTHETIC_CSL,FLATLANDS AVE & FOUNTAIN AVE,BROOKLYN
B1816,ERS,ETNA AVE & RICHMOND ST,11208.0,BROOKLYN,BK05,37.0,40.68582132,-73.87737336,"{'type': 'Point', 'coordinates': [-73.87737336, 40.68582132]}",17215.0,45.0,2.0,37.0,47.0,11208,63,CSL ETNA AVE & RICHMOND ST,SYNTHETIC_CSL,ETNA AVE & RICHMOND ST,BROOKLYN
X3468,ERS,ADEE AVE & OLINVILLE AVE,10467.0,BRONX,BX12,15.0,40.86968361,-73.86822921,"{'type': 'Point', 'coordinates': [-73.86822921, 40.86968361]}",11605.0,59.0,5.0,22.0,32.0,10467,58,CSL ADEE AVE & OLINVILLE AVE,SYNTHETIC_CSL,ADEE AVE & OLINVILLE AVE,BRONX
X3591,ERS,JEROME AVE & E 212 ST,10467.0,BRONX,BX07,11.0,40.88439063,-73.87995799,"{'type': 'Point', 'coordinates': [-73.87995799, 40.88439063]}",11605.0,27.0,5.0,40.0,33.0,10467,58,CSL JEROME AVE & E 212 ST,SYNTHETIC_CSL,JEROME AVE & E 212 ST,BRONX
X3499,ERS,WALLACE AVE & SOUTH OAK DR,10467.0,BRONX,BX12,12.0,40.87222258,-73.86424876,"{'type': 'Point', 'coordinates': [-73.86424876, 40.87222258]}",11605.0,29.0,5.0,22.0,30.0,10467,58,CSL WALLACE AVE & SOUTH OAK DR,SYNTHETIC_CSL,WALLACE AVE & SOUTH OAK DR,BRONX
X3634,ERS,BRONXWOOD AVE & E 214 ST,10467.0,BRONX,BX12,12.0,40.87836638,-73.85892378,"{'type': 'Point', 'coordinates': [-73.85892378, 40.87836638]}",11605.0,29.0,5.0,2.0,30.0,10467,58,CSL BRONXWOOD AVE & E 214 ST,SYNTHETIC_CSL,BRONXWOOD AVE & E 214 ST,BRONX
X3613,ERS,BARKER AVE & MAGENTA ST,10467.0,BRONX,BX12,12.0,40.8753293,-73.86921534,"{'type': 'Point', 'coordinates': [-73.86921534, 40.8753293]}",11605.0,29.0,5.0,2.0,30.0,10467,58,CSL BARKER AVE & MAGENTA ST,SYNTHETIC_CSL,BARKER AVE & MAGENTA ST,BRONX
X2588,ERS,CLAY AVE & E 168 ST,10456.0,BRONX,BX04,16.0,40.83257252,-73.91051469,"{'type': 'Point', 'coordinates': [-73.91051469, 40.83257252]}",10934.0,50.0,5.0,42.0,27.0,10456,55,CSL CLAY AVE & E 168 ST,SYNTHETIC_CSL,CLAY AVE & E 168 ST,BRONX
X4742,ERS,CLAY AVE & E 169 ST,10456.0,BRONX,BX04,16.0,40.8341879,-73.909573,"{'type': 'Point', 'coordinates': [-73.909573, 40.8341879]}",10934.0,50.0,5.0,42.0,27.0,10456,55,CSL CLAY AVE & E 169 ST,SYNTHETIC_CSL,CLAY AVE & E 169 ST,BRONX
X2340,ERS,FOREST AVE & E 161 ST,10456.0,BRONX,BX01,16.0,40.82137071,-73.90489653,"{'type': 'Point', 'coordinates': [-73.90489653, 40.82137071]}",10934.0,34.0,5.0,42.0,25.0,10456,55,CSL FOREST AVE & E 161 ST,SYNTHETIC_CSL,FOREST AVE & E 161 ST,BRONX
X2381,ERS,3 AVE & E 163 ST,10456.0,BRONX,BX03,17.0,40.82406664,-73.90870859,"{'type': 'Point', 'coordinates': [-73.90870859, 40.82406664]}",10934.0,34.0,5.0,43.0,25.0,10456,55,CSL 3 AVE & E 163 ST,SYNTHETIC_CSL,3 AVE & E 163 ST,BRONX
X2747,ERS,FULTON AVE & E 170 ST,10456.0,BRONX,BX03,16.0,40.83462212,-73.90185606,"{'type': 'Point', 'coordinates': [-73.90185606, 40.83462212]}",10934.0,34.0,5.0,42.0,25.0,10456,55,CSL FULTON AVE & E 170 ST,SYNTHETIC_CSL,FULTON AVE & E 170 ST,BRONX
X2954,ERS,BATHGATE AVE & E 176 ST,10457.0,BRONX,BX06,15.0,40.84564214,-73.8977025,"{'type': 'Point', 'coordinates': [-73.8977025, 40.84564214]}",10935.0,35.0,5.0,22.0,31.0,10457,53,CSL BATHGATE AVE & E 176 ST,SYNTHETIC_CSL,BATHGATE AVE & E 176 ST,BRONX
